Clinton Zero,County,Demgov16,"Female Pct, Median Hh Inc, Rural Pct and 1 more (clusters)",Obama Zero,Othergov16,Otherpres12 0,Otherpres16  0,Repgov16,Romney Zero,State,Trump Zero,Age29Andunder Pct,Age65Andolder Pct,Black Pct,Clf Unemploy Pct,Clinton16,Cvap,Demgov14,Demhouse16,Democratic Shift,Demsen16,Female Pct,Fips,Foreignborn Pct,Hispanic Pct,Lesscollege Pct,Lesscollege Whites Pct,Lesshs Pct,Lesshs Whites Pct,Median Hh Inc,Nonwhite Pct,Obama12,Othergov14,Otherhouse16,Otherpres Shift,Otherpres12,Otherpres16,Othersen16,Repgov14,Rephouse16,Repsen16,Republican Shift,Romney12,Rural Pct,Ruralurban Cc,Total Population,Trump16,Votes12,Votes16,White Pct
TRUE,Carbon,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,32.04725634,19.53676356,1.599564744,7.987290802,8936,51115,9156,10939,-14.2143165,10086,50.34354112,42025,2.679931603,4.066531945,84.02417047,83.9795254,10.77493904,10.37200009,50822,7.320068397,11580,0,0,1.869356407,497,1097,1770,7855,16828,16360,12.34496009,13504,47.16240862,2,64330,18743,45.26797232,31.05365582,92.6799316
TRUE,Centre,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,49.05703049,12.44393069,3.471585269,4.851121618,37088,126495,22346,33383,-0.379958761,35487,47.50656498,42027,8.106019676,2.757918808,57.60441881,58.75324117,6.699651315,6.25649727,54407,13.85367325,34176,0,0,2.89077771,1449,3786,4378,16460,41437,36527,-2.51081895,34001,32.21767647,3,159178,35274,49.08511188,48.70515312,86.14632675
TRUE,Chester,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,38.32056059,14.57127345,5.671369534,5.330753936,141682,367555,80507,120661,3.374029578,127552,50.78257439,42029,9.204184146,7.062309092,49.76725031,47.87094944,7.04542752,4.595359327,88995,19.364566,124311,0,1690,2.973788734,2822,11004,9588,74922,145030,133662,-6.347818313,124840,13.27658022,1,512028,116114,49.3350478,52.70907738,80.635434
TRUE,Clarion,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,39.00459693,17.77395413,1.070905776,7.123302672,4273,31395,4176,3168,-6.868465325,4931,51.24939007,42031,1.016975269,0.773003929,79.12630652,79.29482664,11.4858915,11.36416999,42890,3.659570097,5056,0,0,2.046365689,302,686,1204,6155,13456,11310,4.822099636,10828,76.56046814,6,38939,12576,31.23687137,24.36840605,96.3404299
TRUE,Clearfield,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,32.81015153,18.94049526,2.275471233,8.11724608,8200,64075,9680,8653,-10.86206585,9454,47.94135764,42033,2.97154121,2.844647037,86.78106669,86.46681716,12.88685861,11.78510158,43361,6.694591598,11121,0,0,1.762524907,499,1139,2429,11156,25186,22128,9.09954094,20347,53.84973421,4,81170,24932,34.78900116,23.92693531,93.3054084
TRUE,Clinton,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,41.91116957,17.21974909,1.535309591,6.554257625,4744,31165,4543,4530,-12.40933449,5511,50.97379603,42035,1.38101983,1.358255767,82.50748652,82.62922363,12.36574167,11.94317855,47163,4.613516795,5734,0,0,2.360702602,228,628,952,3886,10579,8702,10.04863189,7303,45.69040216,4,39536,10022,43.226536,30.81720151,95.38648321
TRUE,Columbia,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,39.70227041,17.25723357,1.767207812,5.302651326,8934,54050,6421,9251,-11.03488097,9819,51.86754927,42037,2.309351225,2.52351285,78.64053244,78.67428954,11.02623333,10.63295378,46952,6.481758821,10937,0,0,2.813695932,450,1290,1991,8413,18873,16292,8.221185034,14236,40.85147485,3,66772,18004,42.68430707,31.6494261,93.51824118
TRUE,Crawford,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,36.50591196,18.34717961,1.807485033,6.770653939,10971,67805,9682,611,-9.968570093,11047,51.11632022,42039,1.185838878,1.168602847,79.36701258,79.33600359,11.67873469,11.26687614,45637,4.823790318,13883,0,0,2.384746265,604,1534,1740,12770,29115,24472,7.583823828,20901,63.70078297,4,87027,24987,39.23081271,29.26224261,95.17620968
TRUE,Cumberland,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,37.03401439,17.05394565,3.438348412,5.07072821,47085,187840,31264,42188,-1.321555366,44796,50.58809538,42041,5.873571798,3.39651736,66.35698696,66.26196867,8.628561317,7.915236551,62640,12.63543828,44367,0,0,3.008062341,1638,5456,5509,43589,78381,71638,-1.686506974,64809,22.17785443,2,243838,69076,40.0373599,38.71580453,87.36456172
TRUE,Dauphin,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,37.89316155,15.25654319,17.50612218,6.171589311,64706,202405,40306,59322,-2.945546109,62551,51.57154308,42043,7.192181261,8.241960274,70.67541005,67.52523319,10.9214108,7.901942793,54968,32.17545098,64965,0,836,2.767456317,1593,5303,2383,39047,66093,63740,0.178089792,57450,13.3233868,2,271962,60863,52.38774918,49.44220307,67.82454902
TRUE,Delaware,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,39.26333236,15.1020067,20.53756251,7.539406583,177402,414375,108307,150468,-0.554766061,163377,51.95388358,42045,9.726915115,3.47278043,63.21642611,59.76713491,7.597338167,5.42783793,66576,31.42521287,171792,0,0,2.191490874,2919,9565,3948,68957,139614,126300,-1.636724814,110853,0.46388147,1,562316,110667,60.15884355,59.60407749,68.57478713
TRUE,Elk,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,31.52582688,20.54578766,0.456430202,5.062811691,3853,24880,4115,4013,-14.55884271,4509,50.04660731,42047,0.928931889,0.716788274,82.22632226,82.16991706,8.456334563,8.504819547,47917,2.503937514,5463,0,0,2.318110606,196,548,1111,4420,10231,8703,12.2407321,7579,55.6752019,7,31111,10025,41.26756308,26.70872037,97.49606249
TRUE,Erie,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,39.62519659,15.74482415,6.692508589,7.074246579,58112,212470,42091,21235,-10.3705976,56846,50.65398932,42049,4.522933512,3.884886416,73.03740632,71.9414711,8.930007617,7.337006812,47094,14.85456754,68036,0,0,3.131929821,1558,5498,4930,30371,73494,60948,7.238667782,49025,20.01953195,2,279133,60069,57.35674723,46.98614963,85.14543246
TRUE,Fayette,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,33.15900439,19.35647289,3.978275931,7.843473489,17946,107355,17623,18970,-11.91901078,20547,50.65075356,42051,0.90740451,1.031818757,85.26630011,85.17038008,12.63591974,12.14831804,40511,7.741993161,21971,0,0,1.22570058,516,1231,2958,12654,31772,29699,10.6933102,26018,47.89760333,1,134229,34590,45.2963612,33.37735042,92.25800684
TRUE,Forest,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,25.91752302,21.46002936,30.58854931,4.498594189,626,7125,815,640,-12.68185546,708,21.51341252,42053,2.348858935,7.540371013,91.7013087,87.59342302,19.2147806,12.15744893,36594,40.54450821,896,0,0,2.404401136,33,92,164,820,1716,1502,10.27745432,1383,100,9,7493,1683,38.75432526,26.0724698,59.45549179
TRUE,Franklin,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,36.65778255,18.16878074,3.695311937,6.395917888,17465,115150,12447,22461,-5.0672611,17827,50.86145363,42055,3.249359885,5.058052349,79.94455326,79.85134386,13.45482415,12.79900622,55751,11.03027366,18995,0,0,2.27760402,823,2498,3309,25888,45109,48658,2.78965708,43260,40.35209667,3,152707,49768,30.11351026,25.04624916,88.96972634
TRUE,Fulton,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,34.17730158,19.44311745,1.337610046,5.997483573,912,11480,1111,1914,-7.676878641,1025,49.59393981,42057,0.559612366,1.078277486,86.62310206,86.78613627,13.02133385,13.10555337,49420,3.514638641,1310,0,0,1.29077754,71,165,250,2648,4756,5456,6.386101101,4814,100,8,14653,5694,21.14608555,13.46920691,96.48536136
TRUE,Greene,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.26772678,17.10425018,4.149300486,6.993228277,4482,30345,5055,2217,-12.02720071,5692,48.08463193,42059,0.809684356,1.422920704,82.6696055,81.9114295,13.27704722,12.3046239,49116,7.401311423,5852,0,0,1.474640887,184,433,896,3985,11411,8826,10.55255983,8428,66.83296283,6,37669,10849,40.4590708,28.43187008,92.59868858
TRUE,Huntingdon,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.14527528,18.57167786,5.13262368,7.290206289,4539,36870,5493,4935,-7.631409856,5105,47.0181485,42061,1.036122502,1.860657883,85.28791169,84.41414515,11.39414697,10.6928166,45250,8.915016142,5409,0,0,1.992220329,251,673,1406,7238,14378,13078,5.639189527,11979,68.66247032,6,45844,14494,30.66500369,23.03359383,91.08498386
TRUE,Indiana,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,40.94478289,17.08518591,2.276805614,7.732957127,11528,70725,10220,16320,-9.325893188,12592,49.79026414,42063,1.707604211,1.264130025,77.84664708,78.21079292,11.04639772,11.20334252,45118,6.049765119,14473,0,0,1.957697863,591,1354,2955,12195,19336,22245,7.368195325,21257,60.06975698,4,87491,24888,39.84747116,30.52157797,93.95023488
TRUE,Jefferson,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,34.85137409,19.47504206,0.628154795,5.21478236,3650,35050,4265,4428,-7.712807849,4160,50.33987661,42065,0.536174986,0.814357824,85.1716813,85.23028228,10.91912114,10.86170144,43913,2.6068424,4787,0,0,1.817468531,262,636,1451,7253,14792,13706,5.895339318,13048,61.46017699,7,44575,15192,26.45189811,18.73909026,97.3931576
TRUE,Juniata,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.40768208,19.79767039,0.943130063,5.303287021,1821,18940,2169,1855,-9.292943571,2153,50.17935593,42067,2.128088348,3.087340293,86.68735989,86.90716748,17.64097258,17.08070843,49028,4.957478538,2547,0,0,2.122210631,126,360,612,4423,8266,7657,7.170732941,6862,82.2536126,6,24811,8273,26.71211327,17.4191697,95.04252146
TRUE,Lackawanna,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,36.0820822,18.80040938,2.641240153,6.508790331,51983,164940,41569,61646,14.4509401,53936,51.65441349,42069,5.105489986,6.320009765,73.90064766,73.03394708,9.965280096,8.253311015,46673,12.61185131,35085,0,0,1.871695206,1092,3089,7455,18029,37774,40519,-16.3226353,61838,16.30548833,2,213006,48384,35.7955415,50.2464816,87.38814869
TRUE,Lancaster,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,40.09716569,16.38273527,3.533041961,5.45520101,91093,394585,57252,88103,-1.997815758,89922,51.04650072,42071,4.572789856,9.769653542,74.34967,72.86481004,15.39911455,13.82781948,59237,16.84736734,88481,0,7926,3.543209546,3286,12105,9909,82760,145243,142774,-1.545393788,130669,21.25711096,2,533110,137914,39.77818339,37.78036763,83.15263267
